# Data File Name,Prokaryote Total RNA Nano_2021-02-25_15-58-04.xad
# Data File Path,C:\Users\cremerlab\Desktop
# Date Created,"Thursday, February 25, 2021 11:58:03 PM"
# Date Last Modified,"Friday, February 26, 2021 12:13:24 AM"
# Version Created,B.02.11.SI811
# Version Last Modified,B.02.11.SI811
#  
# Assay Name,Prokaryote Total RNA Nano Series II
# Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
# Assay Title,Prokaryote Total RNA Nano
# Assay Version,2.5
#  
# Number of Samples Run,4
#  
# Sample Name,NCM3722_RNA_pilot
# Number of Events,1060
#  
Time,Value
63.4,0.3341673
63.45,0.3418991
63.5,0.3656527
63.55,0.3753772
63.6,0.3736618
63.65,0.3370882
63.7,0.2888781
63.75,0.265213
63.8,0.2629442
63.85,0.274982
63.9,0.2869742
63.95,0.2894415
64,0.2735112
64.05,0.254603
64.1,0.2651705
64.15,0.2890603
64.2,0.3058086
64.25,0.3276572
64.3,0.3248594
64.35,0.2978405
64.4,0.2921151
64.45,0.3321717
64.5,0.3648724
64.55,0.343574
64.6,0.3477339
64.65,0.3375996
64.7,0.29595
64.75,0.2871436
64.8,0.3148412
64.85,0.3268694
64.9,0.3032548
64.95,0.2694266
65,0.2173527
65.05,0.175624
65.1,0.2043435
65.15,0.2548331
65.2,0.2997978
65.25,0.3136766
65.3,0.3090043
65.35,0.2748256
65.4,0.256759
65.45,0.2761259
65.5,0.288142
65.55,0.2713559
65.6,0.2471974
65.65,0.2302938
65.7,0.2159145
65.75,0.232412
65.8,0.2434375
65.85,0.2746096
65.9,0.2990029
65.95,0.3104911
66,0.3296634
66.05,0.3277508
66.1,0.3257005
66.15,0.3248282
66.2,0.3147059
66.25,0.3043921
66.3,0.3042164
66.35,0.2996503
66.4,0.2964122
66.45,0.2775714
66.5,0.2813818
66.55,0.2907293
66.6,0.2879706
66.65,0.2924992
66.7,0.3139285
66.75,0.3049362
66.8,0.2781362
66.85,0.2802041
66.9,0.3357495
66.95,0.3915883
67,0.4224584
67.05,0.4320942
67.1,0.4146098
67.15,0.3772141
67.2,0.3457443
67.25,0.3383524
67.3,0.3600676
67.35,0.358336
67.4,0.3646096
67.45,0.3608235
67.5,0.3560829
67.55,0.335228
67.6,0.335228
67.65,0.335228
67.7,0.335228
67.75,0.335228
67.8,0.335228
67.85,0.335228
67.9,0.335228
67.95,0.335228
68,0.335228
68.05,0.335228
68.1,0.335228
68.15,0.335228
68.2,0.335228
68.25,0.335228
68.3,0.335228
68.35,0.335228
68.4,0.335228
68.45,0.335228
68.5,0.335228
68.55,0.335228
68.6,0.335228
68.65,0.335228
68.7,0.335228
68.75,0.335228
68.8,0.335228
68.85,0.335228
68.9,0.335228
68.95,0.335228
69,0.335228
69.05,0.335228
69.1,0.335228
69.15,0.335228
69.2,0.335228
69.25,0.335228
69.3,0.335228
69.35,0.335228
69.4,0.335228
69.45,0.335228
69.5,0.335228
69.55,0.335228
69.6,0.335228
69.65,0.335228
69.7,0.335228
69.75,0.335228
69.8,0.335228
69.85,0.335228
69.9,0.335228
69.95,0.335228
