well,od_600nm,time_s,temp_C,instrument,medium,sample,replicate
B11,0.0872,65647.05900000001,37.0,Tecan Spark,water,blank,0
B11,0.087,66042.475,37.1,Tecan Spark,water,blank,0
B11,0.0871,66437.893,37.1,Tecan Spark,water,blank,0
B11,0.0871,6327.717,37.1,Tecan Spark,water,blank,0
B11,0.0871,66833.363,37.1,Tecan Spark,water,blank,0
B11,0.087,67228.843,37.1,Tecan Spark,water,blank,0
B11,0.0872,67624.25200000001,37.0,Tecan Spark,water,blank,0
B11,0.0872,68019.804,37.1,Tecan Spark,water,blank,0
B11,0.087,68415.365,37.0,Tecan Spark,water,blank,0
B11,0.0872,68810.72,37.1,Tecan Spark,water,blank,0
B11,0.0872,69206.23599999999,37.1,Tecan Spark,water,blank,0
B11,0.0871,69601.688,37.1,Tecan Spark,water,blank,0
B11,0.087,6723.215999999999,37.1,Tecan Spark,water,blank,0
B11,0.0871,7118.621999999999,37.0,Tecan Spark,water,blank,0
B11,0.0871,395.895,36.9,Tecan Spark,water,blank,0
B11,0.087,7514.14,37.0,Tecan Spark,water,blank,0
B11,0.0871,7909.5380000000005,37.1,Tecan Spark,water,blank,0
B11,0.0871,8304.979,37.1,Tecan Spark,water,blank,0
B11,0.0871,8700.431999999999,37.1,Tecan Spark,water,blank,0
B11,0.087,9095.915,37.1,Tecan Spark,water,blank,0
B11,0.087,9491.358,37.0,Tecan Spark,water,blank,0
B11,0.0871,9886.845,37.1,Tecan Spark,water,blank,0
B11,0.0871,10282.325,37.0,Tecan Spark,water,blank,0
B11,0.0871,10677.858999999999,37.0,Tecan Spark,water,blank,0
B11,0.087,11073.263,37.1,Tecan Spark,water,blank,0
B11,0.0871,791.329,37.1,Tecan Spark,water,blank,0
B11,0.0871,11468.638,37.1,Tecan Spark,water,blank,0
B11,0.0871,11864.122,37.1,Tecan Spark,water,blank,0
B11,0.0871,12259.533000000001,37.0,Tecan Spark,water,blank,0
B11,0.0871,12654.952,37.0,Tecan Spark,water,blank,0
B11,0.0871,13050.472,37.1,Tecan Spark,water,blank,0
B11,0.087,13445.912,37.1,Tecan Spark,water,blank,0
B11,0.0872,13841.317,37.1,Tecan Spark,water,blank,0
B11,0.0871,14236.86,37.1,Tecan Spark,water,blank,0
B11,0.0871,14632.383,37.1,Tecan Spark,water,blank,0
B11,0.0871,15027.768,37.0,Tecan Spark,water,blank,0
B11,0.087,1186.776,37.1,Tecan Spark,water,blank,0
B11,0.0871,15423.316,37.0,Tecan Spark,water,blank,0
B11,0.0871,15818.79,37.1,Tecan Spark,water,blank,0
