slope,intercept,sigma,buffer_base,compound,area_param
0.00741958,-0.00123898,0.00458707,DM,acetate,rel_area_phosphate
0.00727103,0.000453714,0.00486603,DM,acetate,rel_area_phosphate
0.00735842,-0.000443973,0.00335281,DM,acetate,rel_area_phosphate
0.00735256,-0.00159191,0.00375648,DM,acetate,rel_area_phosphate
0.00749021,-0.00213978,0.00379539,DM,acetate,rel_area_phosphate
0.00733299,-0.00132945,0.00457412,DM,acetate,rel_area_phosphate
0.00731025,0.000868912,0.00359846,DM,acetate,rel_area_phosphate
0.00732258,-0.00101091,0.005806,DM,acetate,rel_area_phosphate
0.00735609,-0.00114721,0.00435738,DM,acetate,rel_area_phosphate
0.00735753,-0.000618744,0.00313683,DM,acetate,rel_area_phosphate
0.00740528,-0.00162307,0.00307912,DM,acetate,rel_area_phosphate
0.00719824,0.00200551,0.00351536,DM,acetate,rel_area_phosphate
0.00725523,-1.56779e-05,0.00415867,DM,acetate,rel_area_phosphate
0.00737343,0.000574403,0.0041048,DM,acetate,rel_area_phosphate
0.00759112,-0.00209132,0.00406514,DM,acetate,rel_area_phosphate
0.00728595,-0.0011636,0.0036361,DM,acetate,rel_area_phosphate
0.00717481,0.000428595,0.00410643,DM,acetate,rel_area_phosphate
0.00724974,-0.000880272,0.00530999,DM,acetate,rel_area_phosphate
0.00708081,0.00129415,0.00810997,DM,acetate,rel_area_phosphate
0.00708138,-0.000236428,0.00527332,DM,acetate,rel_area_phosphate
0.00741769,-0.00350186,0.00524348,DM,acetate,rel_area_phosphate
0.00716547,0.00255997,0.003545,DM,acetate,rel_area_phosphate
0.00741245,-0.00010567,0.0035553,DM,acetate,rel_area_phosphate
0.00736003,0.000115184,0.004321,DM,acetate,rel_area_phosphate
0.00724623,-0.000948525,0.00373587,DM,acetate,rel_area_phosphate
0.00730641,-0.00246761,0.00398072,DM,acetate,rel_area_phosphate
0.00709829,0.00229189,0.00575551,DM,acetate,rel_area_phosphate
0.00709497,0.00414263,0.00661894,DM,acetate,rel_area_phosphate
0.00712496,4.95977e-05,0.00516562,DM,acetate,rel_area_phosphate
0.00744124,-0.00072649,0.00366228,DM,acetate,rel_area_phosphate
0.00729292,-0.00193477,0.00432571,DM,acetate,rel_area_phosphate
0.0074898,-0.00252901,0.00441053,DM,acetate,rel_area_phosphate
0.00716144,0.000918842,0.00432477,DM,acetate,rel_area_phosphate
0.00744629,-0.000384755,0.00413069,DM,acetate,rel_area_phosphate
0.00728422,-5.22476e-05,0.00486288,DM,acetate,rel_area_phosphate
0.00739916,-0.000613479,0.00431797,DM,acetate,rel_area_phosphate
0.00743319,-0.000644162,0.00627586,DM,acetate,rel_area_phosphate
0.00756871,-0.00209529,0.00595023,DM,acetate,rel_area_phosphate
0.00730767,0.000826524,0.0037171,DM,acetate,rel_area_phosphate
0.0074914,-0.00290308,0.0048204,DM,acetate,rel_area_phosphate
0.00736727,-0.00325466,0.00785696,DM,acetate,rel_area_phosphate
0.00733782,-0.00431042,0.0108596,DM,acetate,rel_area_phosphate
0.00752594,-0.00136859,0.00290037,DM,acetate,rel_area_phosphate
0.00744672,-0.00132884,0.00513654,DM,acetate,rel_area_phosphate
0.00728777,-0.00078691,0.00308756,DM,acetate,rel_area_phosphate
0.00735937,-0.000224641,0.00503315,DM,acetate,rel_area_phosphate
0.00730721,0.000441411,0.00450381,DM,acetate,rel_area_phosphate
0.00726834,0.00212284,0.00538925,DM,acetate,rel_area_phosphate
0.00731021,0.000421818,0.00492439,DM,acetate,rel_area_phosphate
0.00762144,-0.00314264,0.00443308,DM,acetate,rel_area_phosphate
0.00731074,-0.00289273,0.0067392,DM,acetate,rel_area_phosphate
0.00727808,-0.000649069,0.00320639,DM,acetate,rel_area_phosphate
0.00742667,-0.0014449,0.00404405,DM,acetate,rel_area_phosphate
0.00748889,-0.00168849,0.0031091,DM,acetate,rel_area_phosphate
0.00718368,-1.85357e-05,0.00432683,DM,acetate,rel_area_phosphate
0.00721992,-0.000327162,0.00440873,DM,acetate,rel_area_phosphate
0.00740459,-0.00197562,0.00370001,DM,acetate,rel_area_phosphate
0.00726987,0.000792211,0.00768656,DM,acetate,rel_area_phosphate
0.007205,0.00234895,0.00670321,DM,acetate,rel_area_phosphate
0.00745473,-0.00532776,0.00633653,DM,acetate,rel_area_phosphate
0.00744117,-0.00381969,0.00646451,DM,acetate,rel_area_phosphate
0.00737929,-0.000622728,0.00361568,DM,acetate,rel_area_phosphate
0.00749918,-0.00345265,0.0048966,DM,acetate,rel_area_phosphate
0.00722046,0.00129385,0.00407328,DM,acetate,rel_area_phosphate
0.00748207,-0.00320297,0.00429983,DM,acetate,rel_area_phosphate
0.00747319,-0.00361307,0.00394531,DM,acetate,rel_area_phosphate
0.00746127,-0.00289631,0.00646835,DM,acetate,rel_area_phosphate
0.00749279,-0.00392287,0.00630542,DM,acetate,rel_area_phosphate
0.00737698,-0.00111583,0.00551423,DM,acetate,rel_area_phosphate
0.00737871,-0.00362719,0.00432891,DM,acetate,rel_area_phosphate
0.00730376,0.000988308,0.00489008,DM,acetate,rel_area_phosphate
0.00734952,-0.00059185,0.00372316,DM,acetate,rel_area_phosphate
0.00733109,0.00104546,0.00450993,DM,acetate,rel_area_phosphate
0.00741638,-0.000524458,0.00415763,DM,acetate,rel_area_phosphate
0.00732523,-0.00222701,0.00505456,DM,acetate,rel_area_phosphate
0.00718247,-0.000116436,0.00575831,DM,acetate,rel_area_phosphate
0.00710139,0.00078862,0.00601163,DM,acetate,rel_area_phosphate
