amplitude,area,peak_idx,retention_time,scale,skew,replicate,sample_idx,compound
17017.398130546346,2042087.7756655617,1,10.979852573878752,0.1358927352467243,1.3982575817891758,3,7,NaCl
50984.91232897621,6118189.479477146,2,15.226317854642721,0.3098517581815544,-4.122891899360665,3,7,phosphate
16485.833135653746,1978299.9762784499,3,15.778596119967427,0.2511588365033874,-1.3394996317101568,3,7,glucose
185.27865724247485,22233.438869096055,4,24.94087138623998,0.23664709656586777,1.0310953839487815,3,7,acetate
16707.270012987083,2004872.4015584497,1,10.979854441615608,0.13710003654573344,1.4304611380834185,4,1,NaCl
50712.13310799299,6085455.971066693,2,15.22622931083578,0.30940069706175916,-4.093670371039467,4,1,phosphate
17566.94043756413,2108032.852507696,3,15.768651063241162,0.23270684430874194,-1.1357039730992808,4,1,glucose
15135.491564868835,1816258.9877842602,1,10.965487524137757,0.13573316545991143,1.5499375191499392,4,2,NaCl
46046.09369386002,5525531.243263202,2,15.188970040404252,0.296444826168578,-3.812079183495409,4,2,phosphate
14981.546007715388,1797785.5209258469,3,15.739776164161682,0.2137284623850208,-1.0274252581367274,4,2,glucose
61.93355932665618,7432.027119196164,4,24.923474033157973,0.23332508229563395,1.0962881262632174,4,2,acetate
16325.63269814317,1959075.9237771803,1,10.978584933342649,0.13681054992190497,1.4423941296663454,4,3,NaCl
49615.448238840436,5953853.788660853,2,15.219487185161807,0.3072089898881047,-4.035336633972878,4,3,phosphate
16568.571520771744,1988228.5824926093,3,15.77013079178132,0.23465342797912805,-1.1725445566346797,4,3,glucose
92.4745726056333,11096.94871263579,4,24.932534716794063,0.2392943051304698,1.124632794608971,4,3,acetate
17009.048339940757,2041085.800792891,1,10.981417998117662,0.13533305742055984,1.3885179815099116,4,4,NaCl
51134.231871542266,6136107.824585072,2,15.22941305381745,0.30995324173209937,-4.127755303233983,4,4,phosphate
17163.376359098955,2059605.1630918751,3,15.77556836921236,0.23992962778686647,-1.2266544734469391,4,4,glucose
111.60946201017477,13393.135441123555,4,24.943726104096875,0.23503739843590526,1.0589414245429791,4,4,acetate
14033.742887770313,1684049.146532438,1,10.964889881531297,0.13635089431342848,1.6035264927322948,4,5,NaCl
42853.55638252611,5142426.765903132,2,15.17425906274895,0.289817575817061,-3.663089388822325,4,5,phosphate
12980.62960997795,1557675.553197354,3,15.745697683734107,0.21185911808020233,-1.0530076785681235,4,5,glucose
110.3820952660497,13245.851431903979,4,24.93111988441119,0.23225106176577112,1.0795396495521266,4,5,acetate
16788.45963531311,2014615.1562375731,1,10.979657393308559,0.13589583001806887,1.4054820442978342,4,6,NaCl
50811.98003120963,6097437.603745155,2,15.226136284777935,0.3094547923903896,-4.123243066047055,4,6,phosphate
16451.649128588568,1974197.8954306287,3,15.77780897187294,0.24429399186418427,-1.2815081364733494,4,6,glucose
158.13739633933076,18976.487560711357,4,24.940152438336295,0.2355014274506182,1.0267270153507062,4,6,acetate
14750.396297885209,1770047.5557462252,1,10.970020140562621,0.13518493263772743,1.5638239694528226,4,7,NaCl
45081.11663840382,5409733.996608459,2,15.190578830838994,0.29421821321316344,-3.7911608042494245,4,7,phosphate
13476.28580300565,1617154.2963606785,3,15.75585683540057,0.2210518003526909,-1.1628414342937696,4,7,glucose
152.88481980622956,18346.17837674725,4,24.932608023380713,0.23392835956751828,1.0541232285293183,4,7,acetate
