well,od_600nm,time_s,temp_C,instrument,media,strain,replicate
B2,0.07689999789,26174.1,36.9,infinite,water,blank,0
B2,0.07689999789,26576.7,37.6,infinite,water,blank,0
B2,0.07680000365,26979.4,36.9,infinite,water,blank,0
B2,0.07699999957999999,27382.1,37.6,infinite,water,blank,0
B2,0.07710000128,2415.7,37.5,infinite,water,blank,0
B2,0.07699999957999999,27784.8,36.9,infinite,water,blank,0
B2,0.07699999957999999,28187.5,37.6,infinite,water,blank,0
B2,0.07680000365,28590.1,37.0,infinite,water,blank,0
B2,0.07710000128,28992.8,37.6,infinite,water,blank,0
B2,0.07689999789,29395.5,37.1,infinite,water,blank,0
B2,0.07699999957999999,29798.2,37.4,infinite,water,blank,0
B2,0.07689999789,30200.9,37.2,infinite,water,blank,0
B2,0.07680000365,30603.5,37.4,infinite,water,blank,0
B2,0.07710000128,31006.2,37.5,infinite,water,blank,0
B2,0.07689999789,31408.9,36.9,infinite,water,blank,0
B2,0.07710000128,2818.4,37.3,infinite,water,blank,0
B2,0.07680000365,31811.6,37.4,infinite,water,blank,0
B2,0.07689999789,32214.3,37.5,infinite,water,blank,0
B2,0.07699999957999999,32616.9,36.9,infinite,water,blank,0
B2,0.07670000196,33019.6,37.5,infinite,water,blank,0
B2,0.07689999789,33422.3,37.6,infinite,water,blank,0
B2,0.07710000128,33825.0,37.0,infinite,water,blank,0
B2,0.07689999789,34227.7,37.2,infinite,water,blank,0
B2,0.07710000128,34630.4,37.6,infinite,water,blank,0
B2,0.07689999789,35033.0,37.4,infinite,water,blank,0
B2,0.07720000297,35435.7,37.0,infinite,water,blank,0
B2,0.07720000297,3221.1,37.2,infinite,water,blank,0
B2,0.07710000128,35838.4,37.4,infinite,water,blank,0
B2,0.07710000128,36241.1,37.6,infinite,water,blank,0
B2,0.07720000297,36643.8,37.2,infinite,water,blank,0
B2,0.07689999789,37046.4,36.9,infinite,water,blank,0
B2,0.07720000297,37449.1,37.3,infinite,water,blank,0
B2,0.07699999957999999,37851.8,37.5,infinite,water,blank,0
B2,0.07710000128,38254.5,37.2,infinite,water,blank,0
B2,0.07710000128,38657.1,37.3,infinite,water,blank,0
B2,0.07699999957999999,39059.8,37.6,infinite,water,blank,0
B2,0.07699999957999999,39462.5,37.2,infinite,water,blank,0
B3,0.07710000128,0.0,36.5,infinite,water,blank,0
B3,0.07779999822,3623.8,37.2,infinite,water,blank,0
B3,0.07800000161000001,39865.2,37.4,infinite,water,blank,0
B3,0.07850000262,40267.9,37.3,infinite,water,blank,0
B3,0.07829999924,40670.6,36.9,infinite,water,blank,0
B3,0.07789999992,41073.2,37.5,infinite,water,blank,0
B3,0.07800000161000001,41475.9,37.5,infinite,water,blank,0
B3,0.07760000229,41878.6,37.0,infinite,water,blank,0
B3,0.07789999992,42281.3,37.5,infinite,water,blank,0
B3,0.07779999822,42684.0,37.4,infinite,water,blank,0
B3,0.07779999822,43086.6,37.1,infinite,water,blank,0
B3,0.07760000229,43489.3,37.5,infinite,water,blank,0
B3,0.07840000092999999,4026.5,37.2,infinite,water,blank,0
B3,0.07779999822,43892.0,37.1,infinite,water,blank,0
B3,0.07819999754,44294.7,37.3,infinite,water,blank,0
B3,0.07769999653,44697.4,37.6,infinite,water,blank,0
